OBJECTID,FIRST_DIST,FIRST_Z
1,0,5.6632
2,1.998458342,5.5439
3,3.996916687,5.3724
4,5.995375028,4.993
5,7.993833368,4.7546
6,9.992291709,4.6358
7,11.99075005,4.5199
8,13.9892084,4.4657
9,15.98766673,4.4344
10,17.98612508,4.389
11,19.98458342,4.3795
12,21.98304176,4.3459
13,23.98150011,4.3031
14,25.97995844,4.216
15,27.97841679,4.2099
16,29.97687513,4.1784
17,31.97533347,4.1523
18,33.97379181,4.1119
19,35.97225016,4.0658
20,37.97070849,4.052
21,39.96916684,4.0165
22,41.96762518,3.9964
23,43.96608352,3.9662
24,45.96454186,3.9603
25,47.9630002,3.9524
26,49.96145855,3.9686
27,51.95991689,4.015
28,53.95837523,4.0605
29,55.95683357,4.0578
30,57.95529191,4.0648
31,59.95375025,4.0562
32,61.9522086,4.0588
33,63.95066694,4.08
34,65.94912528,4.1106
35,67.94758362,4.2901
36,69.94604196,4.3269
37,71.9445003,4.291
38,73.94295865,4.2882
39,75.94141699,4.247
40,77.93987533,4.2816
41,79.93833367,4.2235
42,81.93679202,4.1535
43,83.93525036,4.0699
44,85.9337087,4.0565
45,87.93216704,4.006
46,89.93062538,3.9248
47,91.92908372,3.7442
48,93.92754207,3.3765
49,95.92600041,2.9535
50,97.92445875,2.5768
51,99.92291709,2.2582
52,101.9213754,1.9141
53,103.9198338,1.5609
54,105.9182921,1.2799
55,107.9167505,1.0211
56,109.9152088,0.7145
57,111.9136671,0.4368
58,113.9121255,0.2812
59,115.9105838,0.1366
60,117.9090422,-0.1082
61,119.9075005,-0.0902
62,121.9059589,-0.0657
63,123.9044172,-0.0096
64,125.9028755,0.052
65,127.9013339,0.0711
66,129.8997922,0.0418
67,131.8982506,-0.0014
68,133.8967089,-0.0564
69,135.8951672,-0.1434
70,137.8936256,-0.2132
71,139.8920839,-0.2574
72,141.8905423,-0.2653
73,143.8890006,-0.313
74,145.887459,-0.2904
75,147.8859173,-0.1918
76,149.8843756,-0.175
77,0,4.8632
78,1.998458342,5.1767
79,3.996916684,5.3389
80,5.995375028,5.1872
81,7.99383337,4.8227
82,9.99229171,4.5946
83,11.99075005,4.5225
84,13.98920839,4.4595
85,15.98766674,4.4375
86,17.98612508,4.406
87,19.98458342,4.3747
88,21.98304176,4.2946
89,23.9815001,4.2647
90,25.97995845,4.2505
91,27.97841679,4.2144
92,29.97687513,4.1525
93,31.97533347,4.1146
94,33.97379181,4.0581
95,35.97225015,4.0299
96,37.9707085,3.9891
97,39.96916684,3.9014
98,41.96762518,3.802
99,43.96608352,3.7811
100,45.96454187,3.776
101,47.9630002,3.7236
102,49.96145855,3.6996
103,51.95991689,3.6618
104,53.95837523,3.644
105,55.95683357,3.6354
106,57.95529192,3.6258
107,59.95375026,3.6609
108,61.9522086,3.6969
109,63.95066694,3.713
110,65.94912528,3.7387
111,67.94758362,3.7785
112,69.94604197,3.8571
113,71.94450031,3.9326
114,73.94295865,4.0083
115,75.94141699,4.0854
116,77.93987533,4.159
117,79.93833368,4.1879
118,81.93679202,4.2015
119,83.93525036,4.1853
120,85.9337087,4.1145
121,87.93216704,3.9816
122,89.93062539,3.7874
123,91.92908373,3.5903
124,93.92754207,3.234
125,95.92600041,2.865
126,97.92445875,2.4477
127,99.92291709,2.0742
128,101.9213754,1.7961
129,103.9198338,1.5262
130,105.9182921,1.2809
131,107.9167505,0.9619
132,109.9152088,0.7246
133,111.9136671,0.487
134,113.9121255,0.3163
135,115.9105838,0.1958
136,117.9090422,0.1353
137,119.9075005,0.0573
138,121.9059589,0.0658
139,123.9044172,0.0732
140,125.9028755,0.0572
141,127.9013339,0.0204
142,129.8997922,0.0069
143,131.8982506,-0.0367
144,133.8967089,-0.0422
145,135.8951672,-0.0626
146,137.8936256,-0.0812
147,139.8920839,-0.1081
148,141.8905423,-0.1743
149,143.8890006,-0.2285
150,145.887459,-0.2759
151,147.8859173,-0.3246
152,149.8843756,-0.3136
153,0,4.8017
154,1.998458342,4.4471
155,3.996916681,4.3735
156,5.995375025,4.1856
157,7.993833367,4.5232
158,9.992291709,4.9129
159,11.99075005,4.9703
160,13.98920839,5.1197
161,15.98766673,5.3418
162,17.98612508,5.54
163,19.98458342,5.1803
164,21.98304176,4.913
165,23.9815001,4.7091
166,25.97995844,4.5682
167,27.97841679,4.4398
168,29.97687513,4.4401
169,31.97533347,4.3766
170,33.97379181,4.3492
171,35.97225015,4.3339
172,37.97070849,4.3287
173,39.96916684,4.2921
174,41.96762518,4.2521
175,43.96608352,4.209
176,45.96454186,4.1638
177,47.96300021,4.1395
178,49.96145855,4.0887
179,51.95991689,4.0606
180,53.95837523,4.0444
181,55.95683357,4.0414
182,57.95529191,4.0411
183,59.95375026,4.0402
184,61.9522086,4.0106
185,63.95066694,3.9949
186,65.94912528,3.9737
187,67.94758362,3.9776
188,69.94604197,4.0086
189,71.94450031,4.026
190,73.94295865,4.087
191,75.94141699,4.1165
192,77.93987533,4.1892
193,79.93833367,4.2294
194,81.93679201,4.221
195,83.93525036,4.1962
196,85.9337087,4.0846
197,87.93216704,3.9179
198,89.93062538,3.7636
199,91.92908372,3.6724
200,93.92754207,3.5081
201,95.92600041,3.1381
202,97.92445875,2.6998
203,99.92291709,2.3053
204,101.9213754,2.0124
205,103.9198338,1.6721
206,105.9182921,1.387
207,107.9167505,1.0619
208,109.9152088,0.8071
209,111.9136671,0.5849
210,113.9121255,0.3782
211,115.9105838,0.2681
212,117.9090422,0.2153
213,119.9075005,0.2012
214,121.9059589,0.1859
215,123.9044172,0.147
216,125.9028755,0.1548
217,127.9013339,0.1087
218,129.8997922,0.0809
219,131.8982506,0.0358
220,133.8967089,-0.0474
221,135.8951672,-0.1137
222,137.8936256,-0.1521
223,139.8920839,-0.1895
224,141.8905423,-0.2484
225,143.8890006,-0.2989
226,145.887459,-0.2457
227,147.8859173,-0.2425
228,149.8843756,-0.2558
229,0,11.3202
230,1.99845834,10.0682
231,3.996916683,10.4073
232,5.995375022,10.5086
233,7.993833369,9.97
234,9.992291709,10.0964
235,11.99075005,9.7452
236,13.98920839,5.0582
237,15.98766673,4.7782
238,17.98612508,4.6095
239,19.98458342,4.7396
240,21.98304176,4.7035
241,23.9815001,4.7761
242,25.97995844,5.0799
243,27.97841679,5.1301
244,29.97687513,4.8019
245,31.97533347,4.4875
246,33.97379181,4.361
247,35.97225015,4.2919
248,37.97070849,4.2438
249,39.96916684,4.1904
250,41.96762518,4.1551
251,43.96608352,4.1193
252,45.96454186,4.0813
253,47.9630002,4.0528
254,49.96145854,4.0513
255,51.95991689,4.0256
256,53.95837523,4.0147
257,55.95683357,3.9808
258,57.95529191,3.9563
259,59.95375025,3.9641
260,61.9522086,3.931
261,63.95066694,3.9188
262,65.94912528,3.9153
263,67.94758362,3.9162
264,69.94604196,3.9524
265,71.9445003,3.9895
266,73.94295865,4.0756
267,75.94141699,4.0967
268,77.93987533,4.1756
269,79.93833367,4.3037
270,81.93679201,4.3339
271,83.93525035,4.3774
272,85.9337087,4.3244
273,87.93216704,4.1476
274,89.93062538,3.9239
275,91.92908372,3.7015
276,93.92754207,3.6265
277,95.92600041,3.5052
278,97.92445875,3.2322
279,99.92291709,2.8866
280,101.9213754,2.5565
281,103.9198338,2.2791
282,105.9182921,1.9314
283,107.9167505,1.5872
284,109.9152088,1.3574
285,111.9136671,1.0655
286,113.9121255,0.8203
287,115.9105838,0.5847
288,117.9090422,0.3023
289,119.9075005,0.2097
290,121.9059589,0.11
291,123.9044172,0.0796
292,125.9028755,0.0525
293,127.9013339,0.0562
294,129.8997922,0.0765
295,131.8982506,0.0333
296,133.8967089,-0.0015
297,135.8951672,-0.0467
298,137.8936256,-0.0704
299,139.8920839,-0.1016
300,141.8905423,-0.1713
301,143.8890006,-0.2023
302,145.887459,-0.248
303,147.8859173,-0.2698
304,149.8843756,-0.2492
305,0,7.4473
306,1.998458339,7.5859
307,3.996916683,7.5423
308,5.995375026,6.5815
309,7.993833365,3.8718
310,9.992291707,3.6152
311,11.99075005,3.6065
312,13.98920839,3.5662
313,15.98766674,3.534
314,17.98612508,3.5568
315,19.98458342,3.8296
316,21.98304176,4.3668
317,23.9815001,4.607
318,25.97995844,4.9167
319,27.97841678,5.2118
320,29.97687513,5.5448
321,31.97533347,5.6691
322,33.97379181,5.3722
323,35.97225015,4.9974
324,37.9707085,4.6964
325,39.96916684,4.5654
326,41.96762518,4.501
327,43.96608352,4.4674
328,45.96454186,4.4106
329,47.9630002,4.3428
330,49.96145855,4.2865
331,51.95991689,4.2967
332,53.95837523,4.2803
333,55.95683357,4.3047
334,57.95529191,4.2604
335,59.95375025,4.235
336,61.9522086,4.2198
337,63.95066694,4.2093
338,65.94912528,4.1914
339,67.94758362,4.2147
340,69.94604196,4.1943
341,71.9445003,4.2175
342,73.94295865,4.2839
343,75.94141699,4.3646
344,77.93987533,4.3861
345,79.93833367,4.4452
346,81.93679202,4.4737
347,83.93525036,4.4756
348,85.9337087,4.446
349,87.93216704,4.1733
350,89.93062538,3.8852
351,91.92908372,3.7189
352,93.92754207,3.6201
353,95.92600041,3.5138
354,97.92445875,3.2584
355,99.92291709,2.8505
356,101.9213754,2.484
357,103.9198338,2.1094
358,105.9182921,1.7604
359,107.9167505,1.525
360,109.9152088,1.2485
361,111.9136671,0.9374
362,113.9121255,0.6783
363,115.9105838,0.3961
364,117.9090422,0.1279
365,119.9075005,-0.0455
366,121.9059589,-0.086
367,123.9044172,-0.0397
368,125.9028755,-0.0579
369,127.9013339,-0.0232
370,129.8997922,-0.0138
371,131.8982506,-0.0099
372,133.8967089,0.012
373,135.8951672,-0.0038
374,137.8936256,-0.0318
375,139.8920839,-0.0578
376,141.8905423,-0.0733
377,143.8890006,-0.0931
378,145.887459,-0.1527
379,147.8859173,-0.1862
380,149.8843756,-0.2024
381,0,3.6839
382,1.998458338,3.7672
383,3.99691668,4.1156
384,5.995375024,4.1867
385,7.993833364,3.9828
386,9.992291706,4.0368
387,11.99075005,4.3749
388,13.98920839,4.481
389,15.98766673,4.4624
390,17.98612507,4.8831
391,19.98458342,5.8911
392,21.98304176,5.5894
393,23.9815001,4.9331
394,25.97995844,5.1662
395,27.97841678,5.2124
396,29.97687512,5.3178
397,31.97533347,5.4237
398,33.97379181,5.5002
399,35.97225015,5.5213
400,37.97070849,5.4162
401,39.96916684,5.232
402,41.96762518,5.0761
403,43.96608352,4.9313
404,45.96454186,4.8211
405,47.9630002,4.726
406,49.96145854,4.6385
407,51.95991689,4.577
408,53.95837523,4.5406
409,55.95683357,4.5293
410,57.95529191,4.4834
411,59.95375025,4.4972
412,61.95220859,4.4989
413,63.95066694,4.5479
414,65.94912528,4.4028
415,67.94758362,4.3825
416,69.94604196,4.3714
417,71.9445003,4.3679
418,73.94295865,4.3572
419,75.94141699,4.393
420,77.93987533,4.4105
421,79.93833367,4.395
422,81.93679201,4.4195
423,83.93525035,4.4558
424,85.9337087,4.5126
425,87.93216704,4.5407
426,89.93062538,4.5709
427,91.92908372,4.559
428,93.92754207,4.3716
429,95.92600041,4.0018
430,97.92445875,3.7378
431,99.92291709,3.5528
432,101.9213754,3.3947
433,103.9198338,3.1265
434,105.9182921,2.7928
435,107.9167505,2.4784
436,109.9152088,2.1653
437,111.9136671,1.8728
438,113.9121255,1.5869
439,115.9105838,1.2923
440,117.9090422,1.002
441,119.9075005,0.7964
442,121.9059588,0.5232
443,123.9044172,0.2102
444,125.9028755,0.1301
445,127.9013339,0.2529
446,129.8997922,0.3163
447,131.8982506,0.321
448,133.8967089,0.3246
449,135.8951672,0.3025
450,137.8936256,0.2022
451,139.8920839,0.1418
452,141.8905423,0.0798
453,143.8890006,0.0168
454,145.887459,-0.0316
455,147.8859173,-0.0742
456,149.8843756,-0.1368
457,0,13.302
458,1.998458345,13.4604
459,3.996916686,10.8243
460,5.995375024,5.5687
461,7.993833369,4.5969
462,9.992291711,4.7054
463,11.99075005,4.6896
464,13.98920839,4.7923
465,15.98766674,4.896
466,17.98612508,5.1475
467,19.98458342,5.2403
468,21.98304176,5.0467
469,23.9815001,5.0267
470,25.97995844,4.9833
471,27.97841679,4.6483
472,29.97687513,4.5577
473,31.97533347,4.5267
474,33.97379181,4.4706
475,35.97225016,4.4221
476,37.9707085,4.3768
477,39.96916684,4.3467
478,41.96762518,4.3278
479,43.96608352,4.32
480,45.96454186,4.2952
481,47.96300021,4.2743
482,49.96145855,4.2514
483,51.95991689,4.2404
484,53.95837523,4.2219
485,55.95683357,4.1957
486,57.95529192,4.1939
487,59.95375026,4.196
488,61.9522086,4.1909
489,63.95066694,4.1706
490,65.94912528,4.1726
491,67.94758362,4.184
492,69.94604197,4.1896
493,71.94450031,4.2146
494,73.94295865,4.2648
495,75.94141699,4.2965
496,77.93987533,4.3348
497,79.93833367,4.3956
498,81.93679202,4.4729
499,83.93525036,4.5488
500,85.9337087,4.5579
501,87.93216704,4.6126
502,89.93062538,4.5261
503,91.92908373,4.1094
504,93.92754207,3.7929
505,95.92600041,3.5613
506,97.92445875,3.3799
507,99.92291709,3.1283
508,101.9213754,2.823
509,103.9198338,2.5211
510,105.9182921,2.2138
511,107.9167505,1.9086
512,109.9152088,1.6047
513,111.9136671,1.346
514,113.9121255,1.1201
515,115.9105838,0.9023
516,117.9090422,0.6239
517,119.9075005,0.3242
518,121.9059589,0.1569
519,123.9044172,0.2121
520,125.9028755,0.2642
521,127.9013339,0.3068
522,129.8997922,0.2674
523,131.8982506,0.2097
524,133.8967089,0.1613
525,135.8951672,0.071
526,137.8936256,-0.0018
527,139.8920839,-0.0616
528,141.8905423,-0.1389
529,143.8890006,-0.1953
530,145.887459,-0.244
531,147.8859173,-0.2473
532,149.8843756,-0.2337
533,0,4.3978
534,1.99845834,4.8309
535,3.996916684,4.8814
536,5.995375026,5.006
537,7.993833366,5.05
538,9.992291708,4.7957
539,11.99075005,4.6879
540,13.98920839,4.6823
541,15.98766673,4.6415
542,17.98612508,4.6054
543,19.98458342,4.5625
544,21.98304176,4.566
545,23.9815001,4.5607
546,25.97995844,4.5209
547,27.97841678,4.4998
548,29.97687513,4.4405
549,31.97533347,4.4312
550,33.97379181,4.3786
551,35.97225015,4.3246
552,37.9707085,4.2463
553,39.96916684,4.2026
554,41.96762517,4.1815
555,43.96608352,4.1672
556,45.96454186,4.141
557,47.9630002,4.1102
558,49.96145854,4.0962
559,51.95991689,4.0954
560,53.95837523,4.089
561,55.95683357,4.0852
562,57.95529191,4.0918
563,59.95375026,4.0665
564,61.95220859,4.0545
565,63.95066694,4.0676
566,65.94912528,4.1028
567,67.94758363,4.1214
568,69.94604196,4.1363
569,71.94450031,4.1887
570,73.94295865,4.2567
571,75.94141699,4.3192
572,77.93987533,4.3855
573,79.93833367,4.4527
574,81.93679201,4.4975
575,83.93525036,4.5664
576,85.9337087,4.6218
577,87.93216704,4.2703
578,89.93062538,3.7982
579,91.92908372,3.5847
580,93.92754207,3.2913
581,95.92600041,2.9512
582,97.92445875,2.5936
583,99.92291709,2.2715
584,101.9213754,1.969
585,103.9198338,1.6388
586,105.9182921,1.3546
587,107.9167505,1.1
588,109.9152088,0.8497
589,111.9136671,0.6123
590,113.9121255,0.3456
591,115.9105838,0.1696
592,117.9090422,0.1789
593,119.9075005,0.1865
594,121.9059588,0.1933
595,123.9044172,0.1873
596,125.9028755,0.1305
597,127.9013339,0.09
598,129.8997922,0.0457
599,131.8982506,-0.0203
600,133.8967089,-0.1026
601,135.8951672,-0.1872
602,137.8936256,-0.2395
603,139.8920839,-0.2647
604,141.8905423,-0.221
605,143.8890006,-0.122
606,145.887459,-0.2822
607,147.8859173,-0.3227
608,149.8843756,-0.3642
609,0,4.9189
610,1.99845834,4.8339
611,3.996916682,4.7644
612,5.995375024,4.7143
613,7.993833367,4.6825
614,9.992291709,4.6332
615,11.99075005,4.5971
616,13.98920839,4.5673
617,15.98766673,4.5174
618,17.98612507,4.4813
619,19.98458341,4.4341
620,21.98304176,4.3988
621,23.9815001,4.3539
622,25.97995844,4.334
623,27.97841678,4.3168
624,29.97687513,4.2987
625,31.97533347,4.2611
626,33.97379181,4.2507
627,35.97225015,4.2373
628,37.9707085,4.1877
629,39.96916683,4.1677
630,41.96762518,4.1482
631,43.96608352,4.1281
632,45.96454186,4.1068
633,47.9630002,4.0924
634,49.96145854,4.0689
635,51.95991689,4.098
636,53.95837523,4.118
637,55.95683357,4.1537
638,57.95529191,4.1615
639,59.95375025,4.2207
640,61.95220859,4.2761
641,63.95066694,4.3748
642,65.94912528,4.4091
643,67.94758362,4.4887
644,69.94604196,4.5625
645,71.9445003,4.6067
646,73.94295865,4.6289
647,75.94141699,4.6232
648,77.93987533,4.5992
649,79.93833367,4.3843
650,81.93679202,3.878
651,83.93525036,3.3976
652,85.9337087,3.0095
653,87.93216704,2.6213
654,89.93062538,2.2251
655,91.92908372,1.9132
656,93.92754207,1.5906
657,95.92600041,1.2844
658,97.92445875,1.0344
659,99.92291709,0.7738
660,101.9213754,0.496
661,103.9198338,0.2454
662,105.9182921,0.0961
663,107.9167505,0.103
664,109.9152088,0.1545
665,111.9136671,0.1643
666,113.9121255,0.1698
667,115.9105838,0.0988
668,117.9090422,0.0585
669,119.9075005,-0.0182
670,121.9059589,-0.0962
671,123.9044172,-0.1426
672,125.9028755,-0.1528
673,127.9013339,-0.1811
674,129.8997922,-0.2161
675,131.8982506,-0.1654
676,133.8967089,-0.0778
677,135.8951672,-0.198
678,137.8936256,-0.2693
679,139.8920839,-0.2964
680,141.8905423,-0.3606
681,143.8890006,-0.2976
682,145.8874589,-0.2832
683,147.8859173,-0.2605
684,149.8843756,-0.2603
685,0,4.3377
686,1.998458344,4.3004
687,3.996916683,4.2784
688,5.995375027,4.2523
689,7.99383337,4.2227
690,9.99229171,4.2409
691,11.99075005,4.2269
692,13.9892084,4.2427
693,15.98766673,4.2411
694,17.98612508,4.2336
695,19.98458342,4.2228
696,21.98304176,4.203
697,23.9815001,4.191
698,25.97995844,4.1648
699,27.97841679,4.17
700,29.97687513,4.1583
701,31.97533347,4.1208
702,33.97379181,4.1148
703,35.97225015,4.0937
704,37.97070849,4.0921
705,39.96916684,4.094
706,41.96762518,4.0826
707,43.96608352,4.107
708,45.96454186,4.1056
709,47.96300021,4.1407
710,49.96145855,4.1684
711,51.95991689,4.1871
712,53.95837523,4.2092
713,55.95683357,4.256
714,57.95529192,4.3151
715,59.95375026,4.3798
716,61.9522086,4.4317
717,63.95066694,4.4751
718,65.94912528,4.5126
719,67.94758362,4.5794
720,69.94604197,4.5815
721,71.94450031,4.5525
722,73.94295865,4.5245
723,75.94141699,4.4525
724,77.93987533,4.2021
725,79.93833368,3.8612
726,81.93679202,3.3472
727,83.93525036,2.7189
728,85.9337087,2.3348
729,87.93216704,1.9455
