Difference,Cross Section 1,Cross Section 2,Cross Section 3,Cross Section 4,Cross Section 5,Cross Section 6,Cross Section 7,Cross Section 8,Cross Section 9,Cross Section 10,Cross Section 11,Cross Section 12,Cross Section 13,Cross Section 14,Cross Section 15,Cross Section 16,Cross Section 17,Cross Section 18,Cross Section 19,Cross Section 20,Cross Section 21,Cross Section 22,Cross Section 23,Cross Section 24,Cross Section 25
DEM 2,18.1148574,13.08650043,2.171323333,-10.44030844,-23.28424629,-25.62726004,-25.66781049,-21.51170286,-13.70298709,-2.77145801,1.649440004,-3.622180787,-6.258235547,-9.082683454,-13.43528127,-14.44530699,-22.18506807,-21.37362045,-21.30400073,-14.85753073,-1.040394816,9.780062355,28.36090702,40.10022762,48.2828969
DEM 3,-16.93576438,-15.19127045,-12.12583046,-8.683887349,-1.99362613,-0.931502741,-2.293892731,-5.761708427,-11.6612503,-21.51121448,-21.77565285,-21.89118664,-17.23794623,-12.84800166,-3.877465688,-3.664794526,-2.17728706,-6.019751298,-14.85981329,-26.12721619,-48.55286832,-39.25102363,-39.09327753,-26.64491526,-20.20022303
DEM 4,3.790311713,11.35611504,8.119165434,0.969580449,-1.81306008,-3.87387043,-2.169974969,-4.457937096,-6.18571055,-9.188694488,-5.131199463,-5.449744804,-9.134432599,-17.69617154,-22.90212835,-32.48358282,-37.7946308,-38.31147048,-33.97954921,-16.40629124,-13.1076046,-0.69735836,3.120855542,10.32670948,14.29386105
DEM 5,-20.23020539,-14.45598595,-8.00241766,-4.028261721,3.762128504,3.483140346,-0.590766777,-6.379145318,-9.011752446,-16.00273518,-18.83393156,-17.5157981,-15.42776838,-8.003387494,1.052884458,6.533813562,1.3058433,-5.355798067,-13.19346356,-22.27077475,-25.56697453,-29.47910818,-27.14328567,-15.93694995,-8.536796518
DEM 6,7.297579231,-0.593859747,-5.922248686,-11.94341013,-17.24532162,-17.46256097,-15.21582131,-11.21118491,-1.525414447,7.147610454,12.4840229,8.187766329,0.382444764,-4.761489495,-21.39140563,-35.71447807,-33.14609674,-30.04108932,-20.80220642,-12.85168407,2.983902325,12.45503092,25.84348212,36.95921276,40.10903216
DEM 7,-15.82489737,-13.34823279,-9.809835468,-6.580636864,0.144987316,2.417041375,2.304796267,1.396971524,-1.582428382,-12.26027798,-14.11301343,-14.17938713,-11.56844773,-6.661913885,2.06839037,6.761905894,5.046731064,3.164469482,-0.694332513,-9.035459604,-16.65181326,-19.76044412,-11.77800821,2.199112071,14.26381474
DEM 8,16.66401855,11.89752876,4.578792959,-4.559470403,-10.4752605,-12.23879114,-10.6641797,-5.619446248,0.811970124,5.500187338,5.555516997,2.798416922,-3.128838379,-9.975868279,-13.07347309,-17.40595037,-20.32472812,-16.87222945,-10.265672,-0.358641221,8.446837379,17.07790595,28.77173218,38.4907087,42.46408035
DEM 9,2.474965868,-1.696454826,-1.475119137,-1.186198134,4.068886448,5.289567386,3.634675851,2.724959091,0.242087581,-1.245688252,-1.74677884,-4.225261922,-3.784731881,-2.675732203,1.570848405,6.897960111,6.559519404,6.624613461,5.06640546,0.367399291,-1.368897429,-1.739697906,3.310659131,14.14227029,22.93497554
DEM 10,12.91388221,14.18803426,14.27206896,11.83896691,3.49084661,-2.930902906,-6.323625259,-4.821203486,0.477461665,8.646561145,11.2085196,7.26385234,1.934141746,-4.321123414,-7.959477217,-6.091677722,-6.329114968,-2.233280841,1.628821759,5.848485422,14.88019405,19.39375465,32.99241175,40.34295762,45.82619263
DEM 11,-23.01075457,-16.8784678,-6.145147485,10.17117558,11.05631721,11.03286996,10.41052795,3.605752379,-6.164798303,-14.33354408,-12.94631644,-11.73856198,-7.393784611,-0.12855367,11.94117368,20.23803056,22.3515517,20.735007,17.01314936,7.795423726,-4.088006357,-10.97160661,1.833818579,17.06321549,26.7566053
DEM 12,17.19607913,14.83377203,12.56069409,9.430793559,6.614687492,4.896426324,5.415562728,4.402142093,7.468752414,13.32868331,14.21557065,13.45147478,8.214070102,3.436575915,-4.331904482,-5.252174085,-2.317941508,1.604877742,2.51647115,9.35159945,17.38983244,25.25706264,32.67909891,40.81289609,42.52531506
DEM 15,-2.14932424,-2.012129562,1.023966019,6.44213764,10.2440489,12.19730367,12.25528813,11.6302765,10.68318045,5.428267269,1.739321635,4.560432418,10.95689831,18.1713637,20.01304715,20.79339573,23.63033149,24.10655599,22.10288622,15.61614412,8.501223407,-7.348270046,-36.24846167,-67.57260894,-85.59190655
DEM 16,-2.171263186,-1.969136326,1.102984053,6.463425234,10.24580588,12.16237096,12.23539642,11.59159052,8.39261716,5.372665492,1.755783911,4.581278014,10.87716766,18.1565902,20.02460074,20.84120027,23.53702348,24.09684199,22.12076871,15.61805748,8.507184226,-7.40749226,-36.10933496,-67.70264562,-85.5320236
DEM 17,-2.038221551,-1.744994492,1.379787417,6.919295654,10.40316053,12.2859278,12.57799412,11.50362096,6.138881173,5.55520508,1.988195176,4.678374692,10.92363891,18.24821724,20.11513572,20.97312355,23.6833646,24.31456346,22.17248684,15.71078363,8.664331935,-6.869668876,-35.40572056,-67.09411505,-84.83890168
DEM 18,-2.337078124,-2.344922162,0.421085333,6.208223003,9.922105703,11.72931506,11.84048499,11.36349833,8.137695865,5.219243429,1.229244559,4.319374655,10.7354614,17.91315404,19.88415284,20.19387647,23.37583903,23.97507975,21.75902148,15.3653844,8.292197788,-8.569696691,-37.05173622,-68.73272371,-86.21811272
DEM 20,6.245814714,4.873503592,-2.149268714,-11.021425,-15.14145996,-12.42907465,-7.748655212,1.543516955,7.481695085,21.11518895,22.72127715,28.78115122,19.91036248,0.229024001,-9.699097642,-8.17534156,-5.215336806,-8.414768968,0.71902673,16.23432028,32.71085577,48.13055017,65.91685959,73.2466484,73.46119036
